,values,values-pt-rBR,values-fr,values-iw,values-he,values-zh-rCN,values-de,values-it,values-es,values-nl,values-pl
app_name,X,X,X,X,X,X,X,X,X,X,X
bcount,X,X,X,X,X,X,X,X,X,X,X
blsiz,X,X,X,X,X,X,X,X,X,X,X
cache,X,,,,,,,,,,
cacheimg,X,X,X,X,X,X,X,X,X,X,X
caches,X,X,X,X,X,X,X,X,X,X,X
cachext3,X,X,X,X,X,X,X,X,X,X,X
cancel,X,X,X,X,X,X,X,X,X,X,X
corrupted,X,,,X,X,,X,,,,
createvfs,X,,X,X,X,X,X,X,X,X,X
creating,X,X,X,X,X,X,X,X,X,X,X
currkernel,X,,,X,X,X,X,,,,
currpath,X,,,X,X,X,X,,,,
currrom,X,,,X,X,X,X,,,,
currsys,X,,,X,X,X,X,,,,
data,X,,,,,,,,,,
dataext3,X,X,X,X,X,X,X,X,X,X,X
dataimg,X,X,X,X,X,X,X,X,X,X,X
datas,X,X,X,X,X,X,X,X,X,X,X
delete,X,X,X,X,X,X,X,X,X,X,X
description,X,X,X,X,X,X,X,X,X,X,X
device,X,,,X,X,X,X,,,,
edit,X,X,X,X,X,X,X,X,X,X,X
edits,X,X,X,X,X,X,X,X,X,X,X
entername,X,X,X,X,X,X,X,X,X,X,X
error,X,X,X,X,X,X,X,X,X,X,X
fbcount,X,X,X,X,X,X,X,X,X,X,X
format,X,,,,,,,,,,
formating,X,X,X,X,X,X,X,X,X,X,X
freesp,X,X,X,X,X,X,X,X,X,X,X
freespna,X,X,X,X,X,X,X,X,X,X,X
healthy,X,X,X,X,X,X,X,X,X,X,X
icon_prompt,X,X,X,X,X,X,X,X,X,X,X
magnum,X,X,X,X,X,X,X,X,X,X,X
mbactive,X,X,X,X,X,X,X,X,X,X,X
mbnactive,X,X,X,X,X,X,X,X,X,X,X
menu_about,X,,,,,,,,,,
menu_help,X,,,,,,,,,,
menu_license,X,,,,,,,,,,
menu_more,X,,,,,,,,,,
menu_new,X,,,,,,,,,,
menu_refresh,X,,,,,,,,,,
miB,X,X,X,X,X,X,X,X,X,X,X
miBf,X,X,X,X,X,X,X,X,X,X,X
mknewfold,X,X,X,X,X,X,X,X,X,X,X
na,X,,,X,X,,X,,,,
nand,X,,,X,X,,X,,,,
newvfsi,X,,,,,,X,,X,,
none,X,,,X,X,,X,,,,
okay,X,X,X,X,X,X,X,X,X,X,X
rusure,X,X,X,X,X,X,X,X,X,X,X
shrtdesc,X,X,X,X,X,X,X,X,X,X,X
sizemb,X,,,,,,,,,,
smiB,X,X,X,X,X,X,X,X,X,X,X
sysinfo,X,X,X,X,X,X,X,X,X,X,X
system,X,,,,,,,,,,
systemext3,X,X,X,X,X,X,X,X,X,X,X
systemimg,X,X,X,X,X,X,X,X,X,X,X
systems,X,X,X,X,X,X,X,X,X,X,X
untitled,X,,,,,,,,,,
uuidna,X,X,X,X,X,X,X,X,X,X,X
vfsst,X,X,X,X,X,X,X,X,X,X,X